Station ID,Cycle0 (Bef),Cycle0 (Aft),Cycle1 (Bef),Cycle1 (Aft),Cycle2 (Bef),Cycle2 (Aft),Cycle3 (Bef),Cycle3 (Aft)
509,0,0,0,0,-1,7,-7,-1
510,0,0,-1,-1,0,1,0,0
511,-1,-1,-2,-2,0,-1,2,-5
512,-1,-1,1,-2,2,-5,0,-3
513,-1,-1,-1,-1,0,-2,3,-5
514,0,1,0,1,0,5,-4,0
515,-1,-1,0,1,0,-2,3,-4
516,-1,-1,0,0,0,0,1,0
517,-1,-1,0,0,0,-1,2,-1
518,-1,-1,0,0,-1,0,2,-5
519,0,0,0,0,0,1,0,1
520,-1,-1,-1,-1,0,-1,2,-5
521,-1,-1,0,0,0,-1,2,-5
522,0,0,1,0,0,4,-3,4
523,0,0,0,0,0,0,1,-1
524,-1,-1,0,0,0,-2,3,-3
526,0,0,0,0,0,0,0,0
527,0,0,0,0,0,1,0,1
528,0,1,0,0,0,0,-2,8
529,2,1,-2,-1,1,0,0,2
530,-1,-1,0,0,0,0,1,-1
531,-1,-1,-1,-1,1,-1,1,-4
532,0,1,0,0,-1,4,-2,10
533,1,1,-1,2,0,-2,3,-8
534,0,1,-1,1,1,-3,3,-5
535,1,0,0,1,0,-4,4,-4
536,-1,1,0,0,0,0,1,-4
537,0,2,-1,1,1,-2,2,-1
538,0,0,0,0,0,1,0,1
539,0,1,0,0,0,-3,4,-4
540,-2,-2,0,0,0,0,1,-4
541,1,0,0,0,0,0,-5,15
542,-1,-1,0,0,0,-3,4,-4
543,0,1,0,0,0,1,0,0
544,-1,0,-1,0,1,-2,2,-2
545,-1,2,0,0,0,0,1,0
546,1,0,0,0,0,0,-8,-8
547,-1,-1,-1,-1,0,-1,2,-4
548,0,1,0,0,0,0,1,2
549,-1,-1,0,0,0,-1,2,-5
550,0,1,0,0,0,0,1,-3
552,-1,-1,-2,-2,0,1,0,-6
553,-2,-2,0,0,1,-2,2,-3
554,0,0,0,0,0,0,1,-2
556,1,0,0,0,0,5,-4,9
557,0,0,0,0,0,0,-9,5
558,-1,-1,-1,-1,0,3,-2,12
559,0,0,0,0,0,0,1,0
560,1,0,0,0,0,0,1,0
561,0,0,0,0,0,-2,3,-4
562,0,0,1,1,-1,1,-3,8
563,0,0,0,0,0,0,1,0
564,1,-1,1,1,-1,3,-1,18
566,-1,-1,0,0,0,1,0,3
568,1,0,0,0,0,0,1,-1
569,-1,2,0,0,0,-3,3,-3
570,0,0,0,0,-1,0,-6,19
571,0,1,0,0,0,0,-1,2
572,-1,-1,0,1,0,1,0,0
573,1,0,0,0,-1,4,-2,5
574,0,0,0,0,1,-11,4,-10
576,-2,-2,-1,-1,0,0,1,-2
577,-1,-1,0,0,0,-1,2,-4
578,-1,2,0,1,0,0,1,-2
579,0,0,0,0,0,0,-16,9
580,-2,-2,2,-2,1,-4,3,-3
581,-1,2,0,0,0,2,-1,6
583,1,0,0,0,0,5,-4,4
584,-1,-1,-1,-1,-1,0,2,-3
586,0,0,0,0,0,1,0,1
587,0,0,0,0,0,4,-4,7
588,1,0,0,1,0,0,1,-3
589,1,1,-1,-1,-1,2,0,-1
590,-1,-1,0,0,0,1,0,-2
591,0,0,0,0,0,-1,2,-3
592,0,0,1,0,0,1,0,-1
593,0,1,0,1,-1,1,1,1
594,0,1,0,0,0,0,-2,-2
595,0,0,0,0,0,2,-1,6
596,1,0,0,0,0,0,1,1
597,-2,-1,-1,-1,1,-3,3,-6
598,-1,-1,-1,-1,0,-1,2,0
599,0,1,0,0,0,2,-1,0
600,0,0,1,0,0,0,1,-3
601,1,1,-1,-1,0,0,0,6
602,0,0,0,0,0,0,1,-6
603,0,0,-1,-1,0,-3,4,-10
604,0,0,1,0,0,0,1,-3
605,1,0,0,0,-1,-1,3,-4
606,-1,-1,0,0,0,0,1,-1
607,0,0,-1,-1,0,2,-1,2
608,0,0,0,0,0,1,0,2
609,0,1,0,1,-1,-2,4,-4
610,1,0,0,0,0,-1,2,-1
611,0,1,0,1,0,0,0,2
612,1,0,0,0,0,-4,5,-4
613,-2,-2,1,1,-1,3,-1,2
614,-1,-1,0,0,0,2,-1,1
615,-1,-1,0,0,0,-1,2,-4
616,-1,-1,-1,-1,-1,-1,3,-5
617,0,0,-1,-1,0,0,1,-3
618,-1,2,0,1,0,0,1,-1
619,0,1,-1,-1,0,-2,3,-5
620,-2,-2,0,0,1,-5,5,-4
621,0,0,0,0,0,0,1,-3
622,1,-1,1,0,0,2,-3,5
623,0,0,0,0,0,-1,2,-4
624,0,0,0,0,0,-2,3,-7
625,0,0,0,0,-1,-2,4,-5
626,0,0,0,0,0,-1,2,-7
627,-1,-1,0,0,0,-1,2,-4
628,-1,-1,0,0,1,-2,1,-1
629,0,0,0,0,0,0,1,-1
630,0,0,0,0,0,-1,2,-4
631,-1,-1,0,0,-1,2,0,-2
632,0,0,0,0,0,-1,2,-4
633,-1,-1,-1,-1,0,1,0,-5
634,1,1,-1,-1,0,1,0,6
635,-1,-1,0,0,0,-2,3,-7
636,-1,-1,0,1,0,3,-2,1
637,0,0,0,0,0,-1,2,-4
638,0,0,1,1,-1,-3,5,-4
639,-1,-1,0,0,0,1,0,-1
640,0,0,-1,-1,1,-3,3,-3
641,1,0,0,0,1,4,-4,9
